Subject1(30),Assignment-subject1(20),Subject2(30),Assignment-subject2(20),Subject3(30),Assignment-subject3(20),Subject4(30),Assignment-subject4(20),Subject5(30),Assignment-subject5(20),CGPA,SGPA
24,19,18,17,19,10,18,12,24,20,7.2,7.761048544467339
27,11,17,20,26,11,22,16,27,15,8.2,8.960382489167092
24,16,24,17,18,18,19,14,27,18,7.2,7.657854660811544
15,10,27,19,28,19,21,10,27,20,8.6,8.855120880311146
24,18,26,17,28,12,17,10,27,14,7.8,7.420614353046303
17,13,30,20,27,16,21,19,15,13,7.4,7.685187768885337
23,15,25,20,23,19,29,13,23,10,7.8,7.698367594368044
15,11,24,18,15,20,27,15,15,20,7.2,7.185737530237638
26,13,28,15,21,11,30,10,27,19,8.0,8.864726152172704
30,18,15,12,27,20,18,20,23,12,8.0,8.271746173337702
19,10,27,19,20,17,27,10,17,19,8.0,8.664472342752049
16,10,28,18,23,16,29,10,17,17,7.8,7.893927691319586
20,17,30,10,23,14,28,12,29,16,6.8,6.650804630487808
21,20,30,15,25,18,28,19,26,18,8.6,8.307983818398881
19,15,22,14,24,17,17,14,15,18,7.6,7.9703311084050945
17,18,26,17,30,19,18,17,16,10,7.4,7.999133388734642
24,12,16,11,16,17,23,11,26,18,7.4,7.778912050729861
18,12,25,10,16,18,28,19,28,19,7.8,7.861283145477075
18,19,27,18,28,14,21,20,18,20,8.0,8.16483818795707
15,18,25,18,16,16,24,10,29,12,7.8,7.179726337768371
17,10,24,12,20,19,22,13,16,11,6.8,6.35553584745754
18,17,16,11,29,11,23,11,17,18,6.2,6.881971321841985
23,20,28,18,20,17,23,16,16,20,8.6,8.914867344232333
25,15,18,11,26,13,20,12,19,19,7.0,7.714264485756379
17,18,29,16,17,19,19,14,24,14,7.0,7.954616700261223
27,14,25,19,19,16,21,13,27,11,7.8,7.09109245421785
21,13,26,16,26,11,18,18,16,11,7.6,7.462195458484032
15,12,24,14,16,11,27,17,18,20,7.4,7.213967690019307
28,13,15,19,20,17,16,13,25,18,7.8,7.302983084554802
15,12,26,19,22,16,28,11,17,10,6.8,6.0891418850933645
19,20,20,14,21,19,21,15,19,20,7.4,7.790761860595662
30,15,27,16,18,16,17,10,25,17,7.4,7.317009705949413
28,19,20,16,19,19,28,17,15,16,7.8,7.757424892897204
21,20,19,10,30,15,20,15,18,15,6.8,6.140142466760934
17,12,17,18,25,15,20,19,18,18,6.8,6.649080457010967
25,19,26,12,18,16,29,11,15,18,7.4,7.009642555160108
28,10,24,10,16,13,17,19,21,16,7.4,7.857307937924258
24,11,15,20,15,13,18,15,15,18,6.4,6.6639280267970555
30,14,27,17,29,19,26,17,29,20,9.4,9.433424120647787
17,20,26,19,18,11,26,12,29,13,7.4,7.929164679237707
26,19,28,12,25,20,25,14,26,14,6.4,6.169829214281463
30,19,22,17,20,15,20,14,28,12,7.4,7.727012641136527
28,20,27,19,28,13,17,17,24,16,8.4,8.30704664727744
27,13,18,15,27,19,28,14,18,11,7.6,7.203858314957482
23,12,21,20,15,16,15,19,18,17,7.0,7.274345461601376
19,17,26,15,28,19,24,10,30,14,8.6,8.259723977764379
18,16,25,10,23,13,16,16,20,15,6.8,6.484641858500125
18,12,18,12,23,15,30,20,25,13,7.6,7.817652616547
22,13,28,15,15,11,21,12,29,12,7.4,7.196207720922633
26,14,29,10,16,10,28,11,20,17,7.2,7.122373722503572
17,17,26,13,15,10,25,17,16,19,7.2,7.423680102726713
28,13,28,11,18,20,21,20,24,11,8.0,8.957460885408732
22,14,25,13,26,14,27,20,27,13,7.6,7.688611974168259
25,10,28,14,18,10,26,13,24,10,7.2,7.746671559897834
29,15,22,17,24,20,20,14,19,20,8.2,8.513897828655537
20,14,18,16,20,18,20,15,24,11,6.8,6.224777510076009
26,20,17,16,25,17,17,19,30,11,8.6,8.599628842996436
27,16,29,12,29,19,21,13,26,10,8.6,8.089463008414311
15,19,25,20,30,15,29,17,15,13,7.0,7.922146811286003
29,10,17,13,21,13,27,14,15,16,7.4,7.942733707576233
20,19,30,18,20,20,19,18,28,13,8.2,8.23538853141043
24,15,18,17,27,11,22,11,22,20,7.6,7.313866678458975
25,18,28,12,20,12,21,12,28,14,7.6,7.544645403670788
25,17,15,11,25,16,22,16,19,19,8.0,8.828439783970593
24,19,22,10,21,20,28,13,15,12,8.0,8.688821331678943
27,19,25,12,23,16,16,20,29,10,8.4,8.849916044231287
20,13,25,15,16,15,30,19,24,10,7.4,7.951570647507262
15,18,30,20,21,19,26,11,28,19,8.2,8.9135427778218
26,17,23,17,23,18,21,20,29,20,8.6,8.321355006092263
16,12,17,13,17,19,22,11,21,11,6.8,6.196232849960744
23,12,27,18,23,19,21,10,28,14,7.4,7.921333363052355
19,13,21,14,19,18,15,11,17,19,7.0,7.622285700530316
24,10,20,13,18,10,18,19,19,17,7.2,7.407861020951501
20,11,28,16,24,12,20,14,24,15,7.8,7.540972192766154
15,17,19,20,26,11,20,13,28,19,8.0,8.50058399509483
29,19,25,10,25,14,25,18,21,12,8.0,8.337341334470967
22,12,22,15,28,13,17,11,17,17,7.4,7.488703028721304
20,11,22,15,19,20,23,11,20,12,7.4,7.038928833753442
30,15,18,18,22,10,21,15,27,11,7.4,7.041662846537404
19,19,17,11,16,18,23,17,16,14,6.6,6.060212437980511
17,19,27,18,19,14,19,13,17,20,7.2,7.0270810074558785
29,12,24,12,22,19,19,17,28,18,8.8,8.32941581914733
30,17,25,10,15,13,27,10,16,17,7.4,7.1344641572591385
19,17,26,17,18,11,26,10,27,16,8.0,8.573560452661093
16,14,30,11,18,17,29,15,18,20,7.6,7.043996960739451
17,10,15,12,19,12,15,10,16,16,6.4,6.924963971751873
17,11,20,18,21,16,25,12,30,14,7.8,7.2079544402352145
16,18,20,18,24,18,23,15,20,15,7.6,7.825460509026459
18,18,28,12,23,19,19,20,20,11,7.6,7.836524140415603
25,12,21,13,26,20,19,18,29,10,8.2,8.945408792891211
30,16,26,20,27,19,22,19,21,13,9.2,9.342714182097584
18,13,17,17,21,13,21,12,28,18,7.6,7.116206929750811
29,12,28,10,16,17,29,20,20,20,8.0,8.743613829762698
29,19,27,15,20,10,30,16,18,15,8.4,8.892768462471786
23,16,19,20,19,13,24,16,29,16,7.0,7.315942493251268
29,17,15,20,27,17,29,15,26,10,8.4,8.89045252424837
19,11,15,20,23,14,15,11,24,20,7.0,7.685196941982445
25,15,17,20,24,17,27,15,29,17,8.4,8.955187460929693
25,15,23,14,21,13,28,18,25,11,7.8,7.792561158216813
26,18,18,17,24,10,17,10,26,19,6.8,6.60970347603202
29,19,23,11,18,11,27,14,23,10,7.8,7.201201596186367
22,10,22,17,18,10,16,16,21,13,7.0,7.623186381950836
24,13,21,15,16,11,20,15,20,20,6.8,6.36173679567312
26,16,25,14,21,17,26,11,23,14,8.2,8.67634176345851
25,13,29,20,30,19,30,13,25,10,8.6,8.724214464802408
23,20,21,18,21,12,30,13,27,11,8.2,8.028913870989136
23,19,25,19,23,19,29,14,22,16,8.8,8.233332685925705
19,20,22,19,27,20,30,17,26,19,8.6,8.127768156539618
19,18,29,13,21,20,17,11,24,20,8.2,8.912235195008774
21,20,29,11,17,17,22,15,18,10,7.2,7.299584091131679
17,19,24,17,28,13,26,14,20,16,8.0,8.172331261018508
23,18,29,15,16,10,18,15,29,20,8.2,8.840304358608087
30,12,28,20,19,17,24,16,23,20,8.4,8.820437162112043
16,18,23,20,26,14,20,10,29,10,7.2,7.6051590382695755
22,19,19,12,22,15,30,12,23,14,8.2,8.618701518218442
15,18,25,16,28,16,20,11,27,16,8.2,8.74344265768787
25,14,22,14,21,16,17,14,23,18,8.0,8.112969109790185
25,16,16,15,26,16,23,14,17,16,8.0,8.161845134061085
15,10,28,19,20,20,24,19,23,18,8.0,8.83371107672835
17,19,23,18,16,19,29,16,15,19,7.2,7.252707354615365
24,17,24,13,28,14,24,11,29,17,8.4,8.71937140815991
18,10,23,14,16,12,25,20,17,13,6.4,6.652088109362037
24,19,24,19,30,15,16,19,23,15,7.6,7.016582346849587
25,12,15,20,21,10,18,11,22,15,7.0,7.435408816347146
25,18,18,14,30,10,22,19,24,14,7.8,7.01715654093036
21,16,25,19,25,18,19,20,25,11,8.4,8.656126193238578
22,20,26,14,16,10,27,18,19,10,6.6,6.120022642869164
24,16,27,13,18,16,30,10,17,10,6.2,6.153149086101967
28,10,29,19,29,17,27,12,26,10,8.8,8.644155672883045
16,18,28,14,25,19,24,11,28,12,7.4,7.524762561280812
22,20,28,12,17,18,24,18,19,14,7.4,7.971424328067197
16,15,23,10,22,12,26,20,23,16,7.8,7.445139437070483
26,18,28,12,28,17,29,18,18,19,7.8,7.990784587030438
30,11,17,11,19,16,28,17,15,18,6.8,6.038455554437599
23,10,24,20,30,10,25,16,19,14,7.6,7.155205410665124
20,12,18,13,19,20,27,14,19,11,7.4,7.369578533899956
27,15,20,13,19,18,15,13,25,17,7.8,7.9316290198406
24,11,20,10,15,18,22,19,16,17,7.0,7.666367096561213
17,14,21,16,18,17,16,10,15,14,6.6,6.976698288020881
30,14,23,10,22,12,16,13,22,11,7.2,7.931660201132055
23,13,27,20,23,16,18,11,24,11,7.6,7.294664909375783
20,11,22,12,28,13,27,12,22,12,7.6,7.676145505382531
26,16,21,10,17,20,30,10,18,12,7.2,7.232010566310647
21,14,23,17,23,20,26,20,20,12,7.6,7.559929164246346
26,14,15,15,27,17,17,14,25,11,7.2,7.147331711812012
15,17,26,14,21,10,16,16,22,10,6.8,6.014695335138611
30,13,30,20,18,11,25,20,30,12,8.0,8.069980387143218
26,20,24,20,17,13,28,17,19,11,7.4,7.3784233678069615
15,18,20,18,22,15,19,11,27,13,7.0,7.348811498695056
21,17,27,19,21,18,27,16,15,15,8.2,8.311922458688944
28,20,18,14,21,14,23,20,22,16,8.0,8.065772972411024
22,13,18,16,28,11,25,12,29,13,7.6,7.0514351476864
16,16,23,10,27,12,15,18,30,10,7.0,7.838863583321373
26,11,15,10,26,20,29,14,16,10,7.8,7.764721753660739
29,19,23,18,29,19,30,13,15,12,8.8,8.257264830301102
23,20,23,12,27,16,26,17,28,18,8.6,8.02372375547496
20,12,19,10,22,19,19,11,19,12,7.0,7.472288847674749
26,10,20,10,18,17,17,19,28,18,7.6,7.083457852550747
26,10,24,19,19,19,29,16,28,10,7.8,7.242090896723412
27,20,15,12,17,11,29,18,20,20,7.6,7.882251996098486
29,20,21,17,22,10,19,20,18,14,8.0,8.830043623696161
23,13,24,18,23,17,28,14,29,17,8.4,8.920444424241198
22,15,19,20,30,19,15,17,27,12,8.2,8.833013821129914
26,19,15,15,15,10,22,15,18,19,6.8,6.636939749984929
15,19,29,13,23,16,29,15,28,13,8.4,8.508441760314758
25,20,25,18,22,13,30,17,20,17,7.8,7.725266070093144
30,11,24,17,15,13,19,15,23,18,8.0,8.975520114901945
29,13,18,17,26,18,21,18,15,15,7.6,7.03369138170057
23,15,21,10,24,17,25,10,17,13,7.2,7.187219403041555
28,17,21,12,29,14,25,17,17,10,7.4,7.004375925939184
23,18,30,13,22,10,25,16,17,17,8.2,8.07218189281926
17,16,25,19,25,14,23,12,26,15,7.8,7.025234600846599
26,18,29,13,20,18,17,20,23,18,8.6,8.2243486344456
25,15,26,18,25,15,28,10,30,13,7.6,7.081581988128388
29,19,15,13,19,12,23,20,20,15,7.6,7.669069276559731
26,16,19,13,28,10,23,19,19,14,8.0,8.335043836359837
24,15,22,11,20,13,16,11,20,16,7.2,7.492014163876484
19,13,29,16,22,17,28,14,28,12,7.2,7.243471126155751
27,17,28,15,18,11,16,13,26,10,7.6,7.329179803122955
27,10,17,11,20,20,21,10,20,18,7.0,7.933855372721464
20,18,18,20,26,18,23,13,22,14,8.2,8.19504163972378
26,16,27,19,25,19,21,19,16,10,8.0,8.70196084224294
19,15,22,10,19,10,18,15,21,14,6.6,6.3265525106151665
19,10,18,10,21,17,16,19,22,15,6.8,6.278470414889145
16,20,18,15,20,11,18,10,17,18,6.8,6.148045220753325
25,17,17,20,22,20,27,11,20,16,8.4,8.696068236255341
25,10,22,12,16,16,27,10,30,11,7.4,7.401780059090039
28,12,28,13,23,14,24,11,25,18,7.6,7.113109670530692
17,16,21,18,21,16,26,14,28,16,7.6,7.298110109146564
19,13,23,20,21,12,26,12,30,12,8.0,8.269955474310267
30,12,22,11,27,18,22,19,15,14,7.4,7.469191867540952
26,13,21,11,15,10,17,13,22,10,6.8,6.433551824498793
16,18,18,15,18,19,22,15,18,12,7.2,7.509134071404034
24,14,28,15,15,15,21,18,28,12,7.4,7.300141902852312
17,16,26,10,20,20,26,15,26,16,7.8,7.015381356506046
19,16,28,14,22,12,24,12,28,12,7.2,7.878671324080406
20,14,21,15,20,15,26,20,23,19,8.0,8.663699319897315
25,11,26,10,24,10,21,14,30,17,7.8,7.273423123295725
16,14,25,15,15,12,25,14,24,14,6.8,6.304575574024146
20,10,15,18,29,16,24,15,27,16,7.2,7.442758226667826
16,11,17,18,27,17,18,16,19,13,7.0,7.24444759362255
18,18,30,14,29,19,19,15,15,16,8.2,8.552135378869886
16,17,25,12,28,10,28,15,19,18,8.0,8.705091595679466
16,17,24,15,24,17,25,15,27,14,7.8,7.5899939405467425
23,11,28,18,26,16,19,10,28,18,8.4,8.26839447370396
17,14,24,16,15,13,24,20,17,18,6.8,6.486374068849794
18,10,30,11,20,12,27,18,20,18,7.2,7.762001326940296
18,12,19,16,26,16,20,16,24,12,7.4,7.7571414732845705
23,20,23,20,18,20,22,16,26,13,8.4,8.851342469258373
21,20,16,12,23,13,28,18,18,10,7.8,7.61290231518609
25,19,18,19,22,11,23,17,21,12,7.4,7.37467698048479
17,20,22,13,18,19,16,13,19,20,7.2,7.6839524168245115
22,18,24,11,24,19,18,12,28,11,7.0,7.160024234916142
20,18,18,16,15,11,29,19,18,18,7.8,7.020721851319696
24,19,23,15,29,18,23,20,18,13,8.6,8.932014653635408
27,19,20,11,19,20,19,14,30,16,8.4,8.12589103495005
25,10,24,15,20,17,22,14,25,20,7.2,7.807954775734903
23,20,21,15,20,11,22,18,27,17,7.8,7.625482815352965
17,13,16,15,28,20,20,10,22,16,7.4,7.561660413882956
23,15,29,20,24,17,30,16,22,10,8.8,8.798892487388152
18,15,22,14,26,20,20,16,16,14,7.8,7.407618090502715
25,15,17,17,21,14,18,18,19,20,7.0,7.531574009941261
17,14,23,19,16,15,18,16,23,18,7.8,7.053503646609011
23,16,16,20,27,18,27,20,23,18,8.2,8.53725101250952
27,13,16,13,26,20,30,18,25,10,7.6,7.42078976098702
21,10,25,12,21,16,15,11,16,11,7.0,7.376564368322301
19,20,25,12,15,11,20,12,25,15,7.0,7.872045453870008
25,20,23,10,16,17,30,14,22,15,7.4,7.512017480257238
23,15,29,11,26,12,23,14,24,15,7.6,7.743082546526593
25,12,15,16,29,20,27,19,20,15,8.2,8.093434800786078
17,10,19,12,19,14,22,11,25,11,7.0,7.853848598787347
23,13,16,12,24,12,21,19,27,14,7.4,7.773086279055029
24,19,26,15,20,20,17,12,30,16,8.0,8.165984070737776
21,19,19,16,22,19,30,15,30,18,7.4,7.840886817000656
23,18,20,18,29,16,27,15,19,10,7.6,7.320952832462231
18,12,26,19,19,11,22,10,16,15,6.4,6.554180324100623
17,14,21,14,17,13,20,11,17,13,6.4,6.2395471220258125
21,17,19,19,22,12,18,11,20,20,7.0,7.51341683628819
24,10,23,18,19,19,19,14,25,13,7.8,7.464425912624041
23,19,30,15,30,15,18,12,18,12,6.6,6.248028820497947
22,16,30,14,19,11,17,17,24,17,7.8,7.940910920042178
17,19,17,13,16,15,26,17,15,15,7.2,7.214975207798232
15,18,25,10,26,12,30,19,30,15,7.4,7.888463487365293
22,11,30,15,29,17,19,15,17,16,7.4,7.816705829513515
25,15,23,11,16,15,15,13,15,13,6.4,6.9125588471386
16,14,22,13,21,20,19,17,19,13,7.2,7.009205998867818
19,12,21,12,18,15,17,13,24,12,7.0,7.833034603995544
27,14,28,13,29,10,23,15,25,18,8.6,8.878707677175896
18,10,17,10,29,10,24,18,16,11,7.0,7.995921596580875
21,18,28,16,26,13,28,10,22,17,8.2,8.388549431733777
29,15,30,19,26,13,18,18,21,18,8.6,8.269394906525735
16,20,23,19,20,20,27,10,19,16,7.4,7.978978515021334
20,19,24,16,25,11,18,10,19,12,7.0,7.898676247938681
21,10,30,12,23,17,29,12,17,15,7.6,7.310105212391601
16,11,30,14,17,11,19,14,19,18,7.2,7.749906698969023
22,13,23,13,21,16,25,17,30,16,8.2,8.298986402603646
20,17,26,16,22,17,26,18,22,19,8.6,8.1827033282637
26,17,24,18,26,13,18,15,17,17,8.0,8.29459941391425
29,12,18,13,19,20,23,16,17,10,7.6,7.856235737117987
22,16,16,11,18,20,16,16,17,15,7.2,7.438040731115261
19,17,19,14,23,15,23,14,15,15,7.4,7.391693963734189
20,20,26,10,21,17,26,20,24,17,8.2,8.254165235922475
28,19,25,14,30,19,23,18,20,20,8.6,8.400012611714558
28,14,24,19,15,11,16,15,25,12,7.8,7.728491196169303
27,12,25,11,16,10,30,12,26,17,8.0,8.144109968810035
29,19,16,14,15,13,16,10,20,16,7.2,7.786992140028462
20,14,15,16,30,16,21,10,28,13,8.0,8.698868087849712
23,12,15,20,20,13,16,19,15,14,6.2,6.595604248252196
28,20,18,16,25,11,17,11,18,15,7.6,7.556619225918432
22,16,30,13,26,12,23,16,29,12,8.4,8.219651478555605
29,16,21,14,27,16,29,12,16,14,7.2,7.205873050547165
26,15,22,15,17,16,21,11,27,12,7.8,7.4013372070278916
23,19,19,19,20,18,29,16,18,12,7.4,7.8424840207365465
18,11,27,12,21,14,29,14,15,12,7.0,7.420486010978083
19,15,18,13,27,13,24,14,29,10,7.2,7.196455422053801
29,19,27,13,16,18,23,11,24,19,7.8,7.6325438278211255
18,10,28,13,19,12,24,10,28,14,7.6,7.690952895365532
15,19,26,12,18,19,26,10,21,19,7.4,7.8069612212769
16,13,29,13,22,10,23,12,15,16,7.0,7.158341203259989
26,10,24,20,19,14,21,18,30,12,8.2,8.162414611776596
16,15,15,11,20,10,21,20,15,12,6.8,6.215933649062033
25,13,29,11,19,17,23,15,25,17,7.8,7.56766682086273
24,12,17,14,20,13,28,14,28,20,8.2,8.168293801142704
22,18,23,13,17,11,30,20,15,14,7.2,7.523653891001207
30,20,22,11,26,18,21,20,22,15,8.6,8.834073645196067
27,15,18,18,29,18,23,16,25,19,8.8,8.399390008463751
15,15,22,17,27,12,22,19,30,11,8.0,8.845553961437478
25,18,24,20,26,14,21,20,16,13,7.8,7.021578518350843
24,16,16,15,27,14,21,14,25,10,6.8,6.321677521383853
22,12,24,10,18,12,29,20,16,20,7.6,7.38284914050851
27,17,18,18,24,19,27,11,24,13,8.4,8.388255719855264
26,16,26,18,18,11,29,17,16,16,8.2,8.244069960856804
27,12,21,13,25,20,19,18,22,18,7.0,7.030639907388993
25,18,17,20,17,12,30,14,29,10,8.0,8.180343394334542
24,15,26,11,17,13,18,10,29,19,7.6,7.513688597960561
27,10,24,10,29,20,27,11,29,14,8.4,8.479229389761858
30,11,16,20,17,20,28,19,22,20,8.8,8.024607735664546
20,17,21,13,21,14,15,19,16,15,7.0,7.150617098140997
15,17,18,12,25,20,24,18,17,16,7.0,7.321821105191082
28,16,18,18,15,20,21,14,18,18,7.4,7.029879630208139
21,13,16,19,20,16,25,13,27,13,7.0,7.189907019800514
25,13,28,17,16,14,16,16,23,10,6.8,6.998363761505441
25,13,21,16,28,20,20,16,21,13,8.2,8.503840882909302
17,10,18,19,18,15,25,10,17,16,6.8,6.368789965012719
26,20,22,20,18,11,19,18,29,14,8.4,8.62179224438905
26,14,17,16,21,12,16,11,28,20,7.2,7.080098866965203
23,19,28,18,18,20,28,19,17,14,8.8,8.668896412746964
29,20,26,13,16,15,27,19,30,14,8.8,8.311484501655615
17,18,23,13,26,13,30,11,29,15,8.0,8.245632261915599
16,10,16,19,19,15,18,13,26,12,6.8,6.182266744432388
24,18,17,16,24,17,20,11,15,17,7.8,7.848314404848832
25,15,21,14,15,12,23,14,27,16,7.0,7.621005085253611
21,11,16,11,21,19,21,16,27,14,7.2,7.615305032555522
29,10,29,13,21,17,28,14,29,12,8.6,8.389506850132657
29,17,19,20,30,14,26,12,18,18,8.6,8.4169936026154
21,13,27,16,27,10,20,20,15,17,7.4,7.210133714377798
25,17,21,20,17,17,15,10,28,11,7.8,7.499774589319831
30,15,15,16,15,10,26,11,23,14,7.0,7.92079858944966
25,18,30,16,29,12,15,14,24,17,8.6,8.752872544233627
17,12,28,16,21,18,28,11,30,15,7.4,7.998189942991556
24,17,17,16,23,12,21,13,26,10,7.4,7.501650499020926
22,20,19,10,23,19,18,15,18,19,7.8,7.0280067231118455
23,16,19,16,29,19,21,10,26,14,7.4,7.088406246598416
16,14,21,20,23,14,18,11,16,20,7.4,7.7498329894946805
24,17,17,15,28,20,16,13,27,15,8.2,8.50061479730463
20,16,30,11,28,20,26,12,17,11,8.2,8.66688702728726
23,17,15,20,25,14,20,18,26,13,7.2,7.158194120766122
25,13,15,12,17,17,18,19,20,14,7.2,7.5929244033109065
21,15,21,19,26,18,17,11,17,12,7.0,7.242735226442592
16,16,20,18,25,15,19,16,23,17,6.6,6.912847955534165
29,11,19,19,26,13,19,20,30,19,8.0,8.52574935969325
23,19,26,19,25,19,27,20,26,17,8.6,8.441042870932817
27,14,18,13,19,20,16,10,15,10,7.2,7.182119054072674
21,15,15,16,19,15,23,18,27,15,8.0,8.91966252467823
16,15,21,11,28,16,24,13,28,10,7.8,7.016356630626102
20,12,24,10,20,20,15,16,16,10,6.6,6.283000349680391
21,18,30,18,27,14,30,18,27,11,9.0,9.943622650578812
23,12,15,12,26,14,30,12,19,20,7.0,7.561550060619863
28,17,25,11,29,11,20,10,20,15,6.4,6.60189602613668
17,14,26,10,16,12,15,13,20,14,6.8,6.837477060546024
15,19,24,10,16,11,17,11,17,19,6.8,6.14844059739471
29,18,17,20,19,13,24,16,21,19,7.4,7.314807311212372
20,17,29,18,18,18,19,13,18,14,8.0,8.511348452384441
20,10,21,18,19,11,19,17,22,19,7.4,7.485006040363925
30,13,20,14,21,11,29,17,17,18,7.8,7.129652003122704
19,11,20,17,20,15,24,10,27,11,7.0,7.766548107629077
19,20,18,19,21,18,22,20,15,10,7.8,7.811811910387161
24,13,19,15,27,18,16,15,23,15,7.2,7.454073160475506
16,18,28,11,30,16,24,12,15,19,8.0,8.906414149295546
23,19,17,19,26,10,28,15,23,12,8.0,8.422129830781165
16,19,18,12,20,12,30,14,27,11,7.2,7.278671010436723
21,11,30,11,21,10,21,11,19,13,7.4,7.741930971906978
18,11,20,19,21,15,19,10,16,19,6.8,6.908721745178905
24,10,22,11,28,12,28,17,18,13,6.6,6.74565101143959
17,18,24,20,24,14,21,20,27,16,8.2,8.66231591574503
21,10,29,19,24,18,18,16,16,14,7.8,7.177263649702433
30,13,27,18,27,18,15,15,24,10,6.8,6.209975721700672
17,18,15,16,19,20,27,14,23,13,7.6,7.009346667329522
21,15,25,16,18,15,23,11,27,13,7.4,7.526123070331952
18,12,17,13,18,16,16,20,15,14,6.6,6.56354408731909
24,17,20,19,20,13,20,16,18,12,7.6,7.645514576451936
24,20,16,18,27,18,26,20,19,19,8.0,8.04952102519415
30,19,28,15,28,11,21,11,21,12,8.2,8.1945395473297
21,17,29,18,24,16,15,13,26,11,7.6,7.226494326542047
27,18,25,14,16,10,25,19,24,12,7.4,7.868009960340481
27,18,21,15,29,12,23,16,28,10,7.8,7.093011086614741
18,18,26,14,20,18,21,16,15,19,7.4,7.963340882003122
19,11,27,16,28,19,30,13,24,20,8.6,8.194382724970783
17,15,16,13,24,16,15,14,26,18,6.8,6.149935542732999
26,13,15,15,21,19,21,11,26,19,6.6,6.7887697917296705
21,13,26,14,20,11,15,18,23,10,6.8,6.204616374507971
27,19,21,14,27,10,16,19,20,19,7.6,7.2400732437488164
